Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx
64,Gd,gadolinium,160, 0.2186(3),g,0.2186,64160
65,Tb,terbium,159, 1,g,1.0,65159
66,Dy,dysprosium,156, 0.000 56(3),g,0.00056,66156
66,Dy,dysprosium,158, 0.000 95(3),g,0.00095,66158
66,Dy,dysprosium,160, 0.023 29(18),g,0.02329,66160
66,Dy,dysprosium,161, 0.188 89(42),g,0.18889,66161
66,Dy,dysprosium,162, 0.254 75(36),g,0.25475,66162
66,Dy,dysprosium,163, 0.248 96(42),g,0.24896,66163
66,Dy,dysprosium,164, 0.282 60(54),g,0.2826,66164
67,Ho,holmium,165, 1,g,1.0,67165
68,Er,erbium,162, 0.001 39(5),g,0.00139,68162
68,Er,erbium,164, 0.016 01(3),g,0.01601,68164
68,Er,erbium,166, 0.335 03(36),g,0.33503,68166
68,Er,erbium,167, 0.228 69(9),g,0.22869,68167
68,Er,erbium,168, 0.269 78(18),g,0.26978,68168
68,Er,erbium,170, 0.149 10(36),g,0.1491,68170
69,Tm,thulium,169, 1,g,1.0,69169
70,Yb,ytterbium,168, 0.001 26(1),g,0.00126,70168
70,Yb,ytterbium,170, 0.030 23(2),g,0.03023,70170
70,Yb,ytterbium,171, 0.142 16(7),g,0.14215999999999998,70171
70,Yb,ytterbium,172, 0.217 54(10),g,0.21754,70172
70,Yb,ytterbium,173, 0.160 98(9),g,0.16097999999999998,70173
70,Yb,ytterbium,174, 0.318 96(26),g,0.31895999999999997,70174
70,Yb,ytterbium,176, 0.128 87(30),g,0.12887,70176
71,Lu,lutetium,175, 0.974 01(13),g,0.97401,71175
71,Lu,lutetium,176, 0.025 99(13),g,0.02599,71176
72,Hf,hafnium,174, 0.0016(12),g,0.0016,72174
72,Hf,hafnium,176, 0.0526(70),g,0.0526,72176
72,Hf,hafnium,177, 0.1860(16),g,0.18600000000000003,72177
72,Hf,hafnium,178, 0.2728(28),g,0.2728,72178
72,Hf,hafnium,179, 0.1362(11),g,0.1362,72179
72,Hf,hafnium,180, 0.3508(33),g,0.3508,72180
73,Ta,tantalum,180, 0.000 1176(23),g,0.0001176,73180
73,Ta,tantalum,181, 0.999 8824(23),g,0.9998824000000001,73181
74,W,tungsten,180, 0.0012(1),g,0.0012,74180
74,W,tungsten,182, 0.2650(16),g,0.265,74182
74,W,tungsten,183, 0.1431(4),g,0.1431,74183
74,W,tungsten,184, 0.3064(2),g,0.3064,74184
74,W,tungsten,186, 0.2843(19),g,0.2843,74186
75,Re,rhenium,185, 0.3740(5),g,0.374,75185
75,Re,rhenium,187, 0.6260(5),g,0.626,75187
76,Os,osmium,184, 0.0002(2),g,0.0002,76184
76,Os,osmium,186, 0.0159(64),g,0.0159,76186
76,Os,osmium,187, 0.0196(17),g,0.0196,76187
76,Os,osmium,188, 0.1324(27),g,0.1324,76188
76,Os,osmium,189, 0.1615(23),g,0.1615,76189
76,Os,osmium,190, 0.2626(20),g,0.2626,76190
76,Os,osmium,192, 0.4078(32),g,0.4078,76192
77,Ir,iridium,191, 0.3723(9),g,0.3723,77191
77,Ir,iridium,193, 0.6277(9),g,0.6277,77193
78,Pt,platinum,190, 0.000 12(2),g,0.00011999999999999999,78190
