Origin: https://ciaaw.org/isotopic-abundances.html

Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx,Atomic Mass
73,Ta,tantalum,181, 0.999 8824(23),g,0.9998824000000001,73181,180.9479958
74,W,tungsten,180, 0.0012(1),g,0.0012,74180,179.9467108
74,W,tungsten,182, 0.2650(16),g,0.265,74182,181.9482039
74,W,tungsten,183, 0.1431(4),g,0.1431,74183,182.9502228
74,W,tungsten,184, 0.3064(2),g,0.3064,74184,183.9509309
74,W,tungsten,186, 0.2843(19),g,0.2843,74186,185.9543628
75,Re,rhenium,185, 0.3740(5),g,0.374,75185,184.9529545
75,Re,rhenium,187, 0.6260(5),g,0.626,75187,186.9557501
76,Os,osmium,184, 0.0002(2),g,0.0002,76184,183.9524885
76,Os,osmium,186, 0.0159(64),g,0.0159,76186,185.953835
76,Os,osmium,187, 0.0196(17),g,0.0196,76187,186.9557474
76,Os,osmium,188, 0.1324(27),g,0.1324,76188,187.9558352
76,Os,osmium,189, 0.1615(23),g,0.1615,76189,188.9581442
76,Os,osmium,190, 0.2626(20),g,0.2626,76190,189.9584437
76,Os,osmium,192, 0.4078(32),g,0.4078,76192,191.961477
77,Ir,iridium,191, 0.3723(9),g,0.3723,77191,190.9605893
77,Ir,iridium,193, 0.6277(9),g,0.6277,77193,192.9629216
78,Pt,platinum,190, 0.000 12(2),g,0.00011999999999999999,78190,189.9599297
78,Pt,platinum,192, 0.007 82(24),g,0.00782,78192,191.9610387
78,Pt,platinum,194, 0.328 64(410),g,0.32864,78194,193.9626809
78,Pt,platinum,195, 0.337 75(240),g,0.33775,78195,194.9647917
78,Pt,platinum,196, 0.252 11(340),g,0.25211,78196,195.9649521
78,Pt,platinum,198, 0.073 56(130),g,0.07356,78198,197.9678949
79,Au,gold,197, 1,g,1.0,79197,196.9665688
80,Hg,mercury,196, 0.0015(1),g,0.0015,80196,195.9658326
80,Hg,mercury,198, 0.1004(3),g,0.1004,80198,197.9667686
80,Hg,mercury,199, 0.1694(12),g,0.1694,80199,198.9682806
80,Hg,mercury,200, 0.2314(9),g,0.2314,80200,199.9683266
80,Hg,mercury,201, 0.1317(9),g,0.1317,80201,200.9703028
80,Hg,mercury,202, 0.2974(13),g,0.2974,80202,201.9706434
80,Hg,mercury,204, 0.0682(4),g,0.0682,80204,203.973494
81,Tl,thallium,203,"[0.2944, 0.2959]",g,0.29515,81203,202.9723446
81,Tl,thallium,205,"[0.7041, 0.7056]",g,0.70485,81205,204.9744278
82,Pb,lead,204, 0.014(6),g r,0.013999999999999999,82204,203.973044
82,Pb,lead,206, 0.241(30),g r,0.24100000000000002,82206,205.9744657
82,Pb,lead,207, 0.221(50),g r,0.221,82207,206.9758973
82,Pb,lead,208, 0.524(70),g r,0.524,82208,207.9766525
83,Bi,bismuth,209, 1,g r,1.0,83209,208.9803991
84,Po,polonium,209, 1,g r,1.0,84209,208.9824308
85,At,astatine,210, 1,g r,1.0,85210,209.9871479
86,Rn,radon,222, 1,g r,1.0,86222,222.0175782
87,Fr,francium,223, 1,g r,1.0,87223,223.019736
88,Ra,radium,226, 1,g r,1.0,88226,226.0254103
89,Ac,actinium,227, 1,g r,1.0,89227,227.0277523
90,Th,thorium,230, 0.0002(2),g r,0.0002,90230,230.0331341
90,Th,thorium,232, 0.9998(2),g r,0.9998,90232,232.0380558
91,Pa,protactinium,231, 1,g r,1.0,91231,231.0358842
92,U,uranium,234, 0.000 054(5),g m,5.4000000000000005e-05,92234,234.0409523
92,U,uranium,235, 0.007 204(6),g m,0.007204,92235,235.0439301
92,U,uranium,238, 0.992 742(10),g m,0.992742,92238,238.0507884
93,Np,neptunium,237,1,,1,93237,237.0481736
94,Pu,Plutonium,244,1,,1,94244,244.0642053
95,Am,Americium,243,1,,1,95243,243.0613813
96,Cm,Curium,247,1,,1,96247,247.0703541
97,Bk,Berkelium,247,1,,1,97247,247.0703073
98,Cf,Californium,251,1,,1,98251,251.0795886
99,Es,Einsteinium,252,1,,1,99252,252.08298
100,Fm,Fermium,257,1,,1,100257,257.0951061
101,Md,Mendelevium,258,1,,1,101258,258.0984315
102,Nb,Nobelium,259,1,,1,102259,259.10103
103,Lr,Lawrencium,262,1,,1,103262,262.10961
104,Rf,Rutherfordium,263,1,,1,104263,267.12179
105,Db,Dubnium,262,1,,1,105262,268.12567
106,Sg,Seaborgium,266,1,,1,106266,271.13393
107,Bh,Bohrium,264,1,,1,107264,272.13826
108,Hs,Hassium,269,1,,1,108269,270.13429
109,Mt,Meitnerium,268,1,,1,109268,276.15159
110,Uun,Ununnilium,272,1,,1,110272,281.16451
111,Uuu,Unununium,272,1,,1,111272,280.16514
112,Uub,Ununbium,277,1,,1,112277,285.17712
114,Uuq,Ununquadium,289,1,,1,114289,289.19042
116,Uuh,Ununhexium,289,1,,1,116289,293.20449
118,Uuo,Ununoctium,293,1,,1,118293,294.21392
